State,StateAbbreviation,StateStatus,StateClosureStatus,StateClosureStartDate,StateNumberofPublicSchools,StatePublicSchoolEnrollment,
Alabama,AL,State ordered closure,Ordered closed for the academic year,3/19/20,1513,744930,
Alaska,AK,State ordered closure,Ordered closed for the academic year,3/16/20,507,132737,
American Samoa,AS,State ordered closure,Ordered closed until further notice,3/23/20,28,n/a,
Arizona,AZ,State ordered closure,Ordered closed for the academic year,3/16/20,2308,1123137,
Arkansas,AR,State ordered closure,Ordered closed for the academic year,3/17/20,1089,493447,
California,CA,State recommended closure,Recommended closed for the academic year,3/19/20,10286,6309138,
Colorado,CO,State ordered closure,Ordered closed through 4/30/2020,3/23/20,1888,905019,
Connecticut,CT,State ordered closure,Ordered closed through 5/20/2020,3/17/20,1250,535118,
Delaware,DE,State ordered closure,Ordered closed through 5/15/2020,3/16/20,228,136264,
District of Columbia,DC,State ordered closure,Ordered closed through 5/15/2020,3/16/20,223,85850,
Florida,FL,State recommended closure,Recommended closed through 5/1/2020,3/16/20,4178,2816791,
Georgia,GA,State ordered closure,Ordered closed for the academic year,3/18/20,2300,1764346,
Guam,GU,State ordered closure,Ordered closed for the academic year,3/16/20,41,30758,
Hawaii,HI,State ordered closure,Ordered closed through 4/30/2020,3/23/20,290,181550,
Idaho,ID,State recommended closure,Recommended closed for the academic year,3/24/20,745,297200,
Illinois,IL,State ordered closure,Ordered closed through 4/30/2020,3/17/20,4173,2026718,
Indiana,IN,State ordered closure,Ordered closed for the academic year,3/20/20,1921,1049547,
Iowa,IA,State ordered closure,Ordered closed through 4/30/2020,3/16/20,1328,509831,
Kansas,KS,State ordered closure,Ordered closed for the academic year,3/18/20,1318,494347,
Kentucky,KY,State recommended closure,Recommended closed through 5/1/2020,3/16/20,1539,684017,
Louisiana,LA,State ordered closure,Ordered closed for the academic year,3/16/20,1404,716293,
Maine,ME,State recommended closure,Recommended closed for the academic year,3/16/20,605,180512,
Maryland,MD,State ordered closure,Ordered closed through 4/24/2020,3/16/20,1424,886221,
Massachusetts,MA,State ordered closure,Ordered closed through 5/1/2020,3/17/20,1856,964514,
Michigan,MI,State ordered closure,Ordered closed for the academic year,3/16/20,3458,1528666,
Minnesota,MN,State ordered closure,Ordered closed through 5/4/2020,3/18/20,2513,875021,
Mississippi,MS,State ordered closure,Ordered closed for the academic year,3/20/20,1066,483150,
Missouri,MO,State ordered closure,Ordered closed for the academic year,3/23/20,2424,915040,
Montana,MT,State ordered closure,Ordered closed through 4/24/2020,3/16/20,820,146375,
Nebraska,NE,State ordered closure,Ordered closed for the academic year,3/23/20,1095,319194,
Nevada,NV,State ordered closure,Ordered closed through 4/30/2020,3/16/20,657,473744,
New Hampshire,NH,State ordered closure,Ordered closed through 5/4/2020,3/16/20,490,180888,
New Jersey,NJ,State ordered closure,Ordered closed until further notice ,3/18/20,2590,1410421,
New Mexico,NM,State ordered closure,Ordered closed for the academic year,3/16/20,869,336263,
New York,NY,State ordered closure,Ordered closed through 4/29/2020,3/18/20,4798,2729776,
North Carolina,NC,State ordered closure,Ordered closed through 5/15/2020,3/16/20,2624,1550062,
North Dakota,ND,State ordered closure,Ordered closed until further notice,3/16/20,519,109706,
Commonwealth of the Northern Mariana Islands,MP,State ordered closure,Ordered closed for the academic year,3/17/20,n/a,n/a,
Ohio,OH,State ordered closure,Ordered closed through 5/1/2020,3/17/20,3591,1710143,
Oklahoma,OK,State ordered closure,Ordered closed for the academic year,3/17/20,1792,693903,
Oregon,OR,State ordered closure,Ordered closed for the academic year,3/16/20,1243,606277,
Pennsylvania,PA,State ordered closure,Ordered closed for the academic year,3/16/20,3004,1727497,
Puerto Rico,PR,State ordered closure,Ordered closed through 5/1/2020,3/16/20,1283,365181,
Rhode Island,RI,State ordered closure,Ordered closed through 4/30/2020,3/23/20,315,142150,
South Carolina,SC,State ordered closure,Ordered closed through 4/30/2020,3/16/20,1252,771250,
South Dakota,SD,State recommended closure,Recommended closed for the academic year,3/16/20,697,136302,
Tennessee,TN,State recommended closure,Recommended closed for the academic year,3/20/20,1774,1001562,
Texas,TX,State ordered closure,Ordered closed through 5/4/2020,3/23/20,8909,5360849,
United States Virgin Islands,VI,State ordered closure,Ordered closed for the academic year,3/18/20,28,13194,
Utah,UT,State ordered closure,Ordered closed for the academic year,3/16/20,1037,659801,
Vermont,VT,State ordered closure,Ordered closed for the academic year,3/18/20,312,88428,
Virginia,VA,State ordered closure,Ordered closed for the academic year,3/16/20,2134,1287026,
Washington,WA,State ordered closure,Ordered closed for the academic year,3/17/20,2436,1101711,
West Virginia,WV,State ordered closure,Ordered closed through 4/30/2020,3/16/20,739,273855,
Wisconsin,WI,State ordered closure,Ordered closed through 4/23/2020,3/18/20,2256,864432,
Wyoming,WY,State ordered closure,Ordered closed through 4/30/2020,3/16/20,371,94170,